chapter,alt,no.
Deuteronomy 10:18,0,1
Psalm 36:7,0,3
Psalm 63:3,0,5
Psalm 103:13-14,0,7
Psalm 138:2,0,9
Jeremiah 31:3,0,11
Zephaniah 3:17,0,13
Romans 5:5,0,15
Romans 5:8,0,17
Romans 8:28,0,19
Romans 8:35,0,21
Romans 8:37-39,0,23
1 Corinthians 2:9,0,25
Ephesians 2:4,0,27
Ephesians 3:19,0,29
Ephesians 5:2,0,31
1 Peter 5:6-7,0,33
1 John 1:9,0,35
1 John 3:1,0,37
1 John 4:8-10,0,39
1 John 4:16,0,41
